Year,Movement,Index,Name,source,url
1935,New York School,8,Paul Rand,http://www.paul-rand.com/,http://www.paul-rand.com/assets/gallery/posters/industrialArts01.jpg
1940,New York School,8,Alvin Lustig,Flickr,https://c2.staticflickr.com/5/4071/4225427857_b80d672393_m.jpg
1958,New York School,8,Bradbury Thomson,RIT Libraries,https://library.rit.edu/gda/sites/library.rit.edu.gda/files/DSC_2570_0_0.jpg
1962,Pop Art,6,Andy Warhol,http://www.moma.org/,http://www.moma.org/wp/moma_learning/wp-content/uploads/2012/06/Warhol.-Soup-Cans-469x292.jpg
1975,Pop Art,6,Still Life With Lemons,Wikipedia,https://upload.wikimedia.org/wikipedia/en/7/78/Cubist_Still_Life_With_Lemons.jpg
1987,Pop Art,6,Jasper Johns,http://jasper-johns.org/,http://www.jasper-johns.org/images/paintings/summer.jpg
1946,Social Realism,2,Ben Shahn,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/c/c1/Poster_RegtoVote.jpg
1999,Street Art,3,Bansky,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/0/07/Banksy_MIld_Mild_West_and_poster.jpg
1931,Bauhaus,1,Joost Schmidt,http://www.bauhaus100.de/,https://www.bauhaus100.de/bh100/export/sites/default/de/damals/werke/grafik-typografie/dessau-auf-dem-boden-alter-kultur/dessau_auf_dem_Boden_0.jpg_1826548041.jpg
1941,Art Deco,0,Jean Carlu,http://www.moma.org/,http://www.moma.org/media/W1siZiIsIjIwNzkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAxMzY2eDEzNjZcdTAwM2UiXV0.jpg?sha=b253fd8176e03591
